end_month,water_level_absolute,water_level_relative,reservoir
2020-06-01,45886286,0.76822477012374,BANDAK
2020-07-01,56712343,0.949473807149127,BANDAK
2020-08-01,62148830,1.04049106611525,BANDAK
2020-09-01,52088823,0.872067180926152,BANDAK
2020-10-01,48692683,0.815209258914159,BANDAK
2020-11-01,59730287,1,BANDAK
2020-12-01,92158293,1.54290725239609,BANDAK
2021-01-01,87461084,1.46426693044351,BANDAK
2021-02-01,81594206,1.36604409752794,BANDAK
2021-03-01,65659590,1.09926794759918,BANDAK
2021-04-01,41096266,0.688030613346961,BANDAK
2021-05-01,44763797,0.749432143193955,BANDAK
2021-06-01,60264022,1.00893575147228,BANDAK
2021-07-01,49403552,0.827110574573332,BANDAK
2021-08-01,43147329,0.722369356772051,BANDAK
2021-09-01,21441873,0.358978234944694,BANDAK
2021-10-01,64626800,1.08197705462222,BANDAK
2021-11-01,76681126,1.28378967943014,BANDAK
2021-12-01,90454114,1.51437601496875,BANDAK
2022-01-01,88304292,1.47838385574809,BANDAK
2022-02-01,80213310,1.34292523992058,BANDAK
2022-03-01,80066153,1.34046154842685,BANDAK
2022-04-01,58435544,0.978323509478533,BANDAK
2022-05-01,58879550,0.985757024740229,BANDAK
2022-06-01,46710474,0.782023264010099,BANDAK
2022-07-01,56672870,0.94881295313381,BANDAK
2022-08-01,53751018,0.899895525363874,BANDAK
2022-09-01,56777254,0.950560542258905,BANDAK
2022-10-01,62032240,1.03853912505058,BANDAK
2022-11-01,88700991,1.48502536075208,BANDAK
2022-12-01,95732205,1.60274141994329,BANDAK
2023-01-01,88933730,1.48892185969239,BANDAK
2023-02-01,82208414,1.37632712195071,BANDAK
2023-03-01,71348327,1.19450835720913,BANDAK
2023-04-01,71348327,1.19450835720913,BANDAK
2023-05-01,59487644,0.995937689032032,BANDAK
2023-06-01,57678690,0.965652316386827,BANDAK
2023-07-01,50915464,0.852422892258997,BANDAK
2023-08-01,42471987,0.711062831491166,BANDAK
2023-09-01,52500692,0.878962660936151,BANDAK
2023-10-01,67475560,1.12967078159193,BANDAK
2023-11-01,57496142,0.962596111416642,BANDAK
2023-12-01,89841441,1.50411868940124,BANDAK
2020-02-01,920205,0.00776667056517312,BERDALSVATN
2020-03-01,43243335,0.364980343602155,BERDALSVATN
2020-04-01,24042945,0.202926123235123,BERDALSVATN
2020-05-01,23523105,0.198538594340366,BERDALSVATN
2020-06-01,43143962,0.36414162032411,BERDALSVATN
2020-07-01,74112983,0.625524881481057,BERDALSVATN
2020-08-01,121504489,1.02551642107215,BERDALSVATN
2020-09-01,106628538,0.89996112550143,BERDALSVATN
2020-10-01,123324583,1.04087829206356,BERDALSVATN
2020-11-01,118481271,1,BERDALSVATN
2020-12-01,101154,0.000853755189712642,BERDALSVATN
2021-01-01,34246591,0.289046451907154,BERDALSVATN
2021-02-01,144682449,1.22114193896519,BERDALSVATN
2021-03-01,80325585,0.677960190011804,BERDALSVATN
2021-04-01,12672,0.000106953612946978,BERDALSVATN
2021-05-01,9997500,0.0843804249871695,BERDALSVATN
2021-06-01,58966079,0.497682701260016,BERDALSVATN
2021-07-01,92537094,0.781027188676934,BERDALSVATN
2021-08-01,66118975,0.558054234580248,BERDALSVATN
2021-09-01,69038956,0.582699319624956,BERDALSVATN
2021-10-01,2351915,0.0198505213537083,BERDALSVATN
2021-11-01,40632,0.000342940277877336,BERDALSVATN
2021-12-01,153185157,1.29290609146149,BERDALSVATN
2022-01-01,1967344,0.0166046834524589,BERDALSVATN
2022-02-01,47229,0.000398619964162944,BERDALSVATN
2022-03-01,103487389,0.873449348800453,BERDALSVATN
2022-04-01,25867095,0.21832222748522,BERDALSVATN
2022-05-01,17710046,0.149475489674651,BERDALSVATN
2022-06-01,33318791,0.281215678383464,BERDALSVATN
2022-07-01,117728210,0.993644050290446,BERDALSVATN
2022-08-01,38251720,0.32285035159692,BERDALSVATN
2022-09-01,119542363,1.00895577833563,BERDALSVATN
2022-10-01,130928891,1.10505981152076,BERDALSVATN
2022-11-01,160155840,1.35173971926753,BERDALSVATN
2022-12-01,162011010,1.36739763704932,BERDALSVATN
2023-01-01,145982982,1.2321186358644,BERDALSVATN
2023-02-01,134341139,1.13385970513432,BERDALSVATN
2023-03-01,73755552,0.622508109319658,BERDALSVATN
2023-04-01,51296292,0.432948529054858,BERDALSVATN
2023-05-01,17905468,0.151124881163707,BERDALSVATN
2023-06-01,5658459,0.0477582570835183,BERDALSVATN
2023-07-01,34288596,0.289400980514465,BERDALSVATN
2023-08-01,84246,0.000711049090619563,BERDALSVATN
2023-09-01,41170847,0.347488228751361,BERDALSVATN
2023-10-01,113606035,0.958852264506852,BERDALSVATN
2023-11-01,131288038,1.10809106698391,BERDALSVATN
2023-12-01,131288038,1.10809106698391,BERDALSVATN
2020-02-01,157161557,1.07199352177459,BERDALSVATNET
2020-03-01,46223,0.000315285477586526,BERDALSVATNET
2020-04-01,49832581,0.339906304219853,BERDALSVATNET
2020-05-01,51569668,0.351754914314489,BERDALSVATNET
2020-06-01,104374097,0.711932090524359,BERDALSVATNET
2020-07-01,84357444,0.575399195628121,BERDALSVATNET
2020-08-01,113993921,0.777548575913415,BERDALSVATNET
2020-09-01,117691529,0.802769831656394,BERDALSVATNET
